Date,Cumulative Total Return (Net Dividends)
1953-03-31,51.8007
1953-04-01,51.5606
1953-04-02,51.4406
1953-04-06,47.7191
1953-04-07,48.3193
1953-04-08,49.6399
1953-04-09,49.3397
1953-04-10,48.9796
1953-04-13,48.6795
1953-04-14,49.2197
1953-04-15,49.8199
1953-04-16,49.5198
1953-04-17,47.7791
1953-04-20,48.4394
1953-04-21,48.0792
1953-04-22,46.8187
1953-04-23,45.1981
1953-04-24,45.2581
1953-04-27,46.0984
1953-04-28,47.1789
1953-04-29,48.1393
1953-04-30,47.7791
1953-05-01,48.4394
1953-05-04,50.06
1953-05-05,50.2401
1953-05-06,50.06
1953-05-07,49.4598
1953-05-08,49.8199
1953-05-11,49.5198
1953-05-12,48.4994
1953-05-13,48.4394
1953-05-14,49.1597
1953-05-15,49.0996
1953-05-18,48.5594
1953-05-19,48.2593
1953-05-20,49.6399
1953-05-21,50.4202
1953-05-22,50.2401
1953-05-25,50
1953-05-26,49.2797
1953-05-27,47.8992
1953-05-28,46.8187
1953-05-29,47.2989
1953-06-01,44.958
1953-06-02,45.3782
1953-06-03,45.1381
1953-06-04,44.2377
1953-06-05,44.5978
1953-06-08,44.1176
1953-06-09,41.6567
1953-06-10,41.2965
1953-06-11,42.557
1953-06-12,42.9772
1953-06-15,41.7767
1953-06-16,41.3565
1953-06-17,43.1573
1953-06-18,43.0972
1953-06-19,43.0972
1953-06-22,43.8175
1953-06-23,44.7779
1953-06-24,44.5978
1953-06-25,45.1981
1953-06-26,45.3181
1953-06-29,44.898
1953-06-30,44.898
1953-07-01,45.4982
1953-07-02,45.9184
1953-07-03,46.2185
1953-07-06,46.3385
1953-07-07,47.1188
1953-07-08,47.0588
1953-07-09,46.6387
1953-07-10,46.5186
1953-07-13,45.078
1953-07-14,44.5378
1953-07-15,44.958
1953-07-16,45.1381
1953-07-17,46.1585
1953-07-20,45.3782
1953-07-21,45.018
1953-07-22,45.1981
1953-07-23,45.4382
1953-07-24,45.4382
1953-07-27,44.4778
1953-07-28,44.7179
1953-07-29,45.6182
1953-07-30,46.9988
1953-07-31,48.5594
1953-08-03,49.0996
1953-08-04,48.7395
1953-08-05,48.1393
1953-08-06,48.8595
1953-08-07,48.7395
1953-08-10,48.5594
1953-08-11,48.3794
1953-08-12,48.7395
1953-08-13,48.4394
1953-08-14,47.7791
1953-08-17,47.419
1953-08-18,46.8187
1953-08-19,45.9184
1953-08-20,45.7983
1953-08-21,46.1585
1953-08-24,44.5978
1953-08-25,43.6375
1953-08-26,43.2173
1953-08-27,42.7971
1953-08-28,42.497
1953-08-31,39.976
1953-09-01,40.5762
1953-09-02,41.4166
1953-09-03,41.1164
1953-09-04,41.4766
1953-09-08,41.7167
1953-09-09,41.9568
1953-09-10,40.5162
1953-09-11,38.8956
1953-09-14,36.3145
1953-09-15,37.455
1953-09-16,38.1152
1953-09-17,38.4754
1953-09-18,43.7575
1953-09-21,37.3349
1953-09-22,39.2557
1953-09-23,39.4358
1953-09-24,39.4958
1953-09-25,39.8559
1953-09-28,40.7563
1953-09-29,40.9964
1953-09-30,40.1561
1953-10-01,40.9964
1953-10-02,41.5966
1953-10-05,40.9364
1953-10-06,40.3962
1953-10-07,41.5366
1953-10-08,41.7767
1953-10-09,42.0168
1953-10-13,41.4766
1953-10-14,42.1369
1953-10-15,43.7575
1953-10-16,44.898
1953-10-19,45.018
1953-10-20,45.078
1953-10-21,45.1981
1953-10-22,45.8583
1953-10-23,46.1585
1953-10-26,45.9184
1953-10-27,45.6182
1953-10-28,45.7983
1953-10-29,47.539
1953-10-30,47.2989
